text,label,label_name
Good morning — I'm getting a 'missing DLL' error when launching the tool. Thanks in advance.,4,software
Good morning — I'm disputing a charge from three weeks ago. Let me know ASAP.,0,billing
Urgent: I cannot browse the internet but the LAN connection shows active. Regards.,2,network
Good morning — The cooling pad I ordered is not compatible with my laptop model. Thanks in advance.,1,hardware
Quick question: How do I download my tax invoice for last quarter? Regards.,0,billing
I received a collection notice but my account is current. Appreciate any guidance.,0,billing
Quick question: I need to disable MFA for an upcoming travel period. Regards.,3,account
My billing address is wrong on all my invoices. This is affecting my work.,0,billing
"Hi, The power adapter for my device sparks when plugged in. Please help.",1,hardware
Ping times to our cloud servers have spiked to 400ms.,2,network
Urgent: New hire's account was not provisioned before their start date. Regards.,3,account
"Hi, My device was assigned a duplicate IP address on the LAN. Let me know ASAP.",2,network
"Hello, Can you explain the extra line item on my statement? This is affecting my work.",0,billing
Quick question: The antivirus software is quarantining a legitimate work file.,4,software
FYI — My trackpad stopped clicking after the latest OS update.,1,hardware
FYI — I cannot connect to the VPN from home.,2,network
Quick question: I'm getting a 'missing DLL' error when launching the tool. Thanks in advance.,4,software
The plugin I installed yesterday is causing crashes.,4,software
FYI — Font rendering is blurry after upgrading to the new display drivers.,4,software
My download speed dropped to under 1 Mbps today. This is affecting my work.,2,network
Quick question: I cannot uninstall the old version before installing the new one. Please help.,4,software
FYI — The plugin I installed yesterday is causing crashes.,4,software
Urgent: The SSL certificate for our internal portal expired.,2,network
"Hello, Can you explain the extra line item on my statement? This is affecting my work.",0,billing
"Hey there, The firewall is blocking my access to an approved tool. This is affecting my work.",2,network
Good morning — Font rendering is blurry after upgrading to the new display drivers. This is affecting my work.,4,software
The webcam LED is on but no image appears in video calls. Please help.,1,hardware
"Hi, I need to update my payment method but I'm getting an error. Regards.",0,billing
Good morning — I can't reach the shared network drive from branch office. Regards.,2,network
"Hello, I received a collection notice but my account is current. Appreciate any guidance.",0,billing
FYI — I need a temporary password for a shared account.,3,account
I'm getting a 'missing DLL' error when launching the tool. Appreciate any guidance.,4,software
"Hi, My trackpad stopped clicking after the latest OS update. This is affecting my work.",1,hardware
Quick question: The macro I recorded in Excel is throwing a runtime error.,4,software
I cannot change my email address in the profile settings. Regards.,3,account
"Hello, The cooling pad I ordered is not compatible with my laptop model. Let me know ASAP.",1,hardware
Quick question: My IDE keeps freezing when I open files larger than 5 MB. Let me know ASAP.,4,software
Urgent: The application is using 98% CPU at idle. Thanks in advance.,4,software
Quick question: I need to roll back the latest patch—it broke our workflow. Let me know ASAP.,4,software
"Hi, How do I download my tax invoice for last quarter?",0,billing
Good morning — I'm getting a 'missing DLL' error when launching the tool. Appreciate any guidance.,4,software
FYI — My account was locked after too many failed login attempts. Thanks in advance.,3,account
FYI — My username changed after the SSO migration and I can't log in. Regards.,3,account
FYI — My account was locked after too many failed login attempts. Regards.,3,account
FYI — My desk phone handset has static on all calls. Thanks in advance.,1,hardware
Quick question: The USB ports on my docking station stopped working. Regards.,1,hardware
The browser extension for our CRM stopped working after an update. Let me know ASAP.,4,software
Good morning — My device was assigned a duplicate IP address on the LAN. Let me know ASAP.,2,network
Quick question: The macro I recorded in Excel is throwing a runtime error. Let me know ASAP.,4,software
Good morning — I'm getting DNS resolution errors for internal sites. Regards.,2,network
"Hi, The keyboard on my workstation is unresponsive. This is affecting my work.",1,hardware
"Hey there, The guest account I created for a vendor has too many permissions. Thanks in advance.",3,account
FYI — I keep getting a proxy authentication error on Chrome. This is affecting my work.,2,network
Quick question: I keep getting a proxy authentication error on Chrome. This is affecting my work.,2,network
Quick question: My desk phone handset has static on all calls. This is affecting my work.,1,hardware
Quick question: How do I download my tax invoice for last quarter? Appreciate any guidance.,0,billing
"Hi, The application crashes every time I try to export to PDF. This is affecting my work.",4,software
Two-factor authentication codes are not arriving via SMS. Appreciate any guidance.,3,account
"Hey there, I'm disputing a charge from three weeks ago. This is affecting my work.",0,billing
Good morning — I need a temporary password for a shared account. Please help.,3,account
"Hi, I keep getting a proxy authentication error on Chrome. Let me know ASAP.",2,network
Good morning — I was charged twice for my subscription this month. Please help.,0,billing
"Hey there, I keep getting a proxy authentication error on Chrome. This is affecting my work.",2,network
An ex-employee's account is still active and needs to be disabled. Regards.,3,account
Urgent: How do I download my tax invoice for last quarter? Appreciate any guidance.,0,billing
"Hey there, The enterprise plan was not activated after payment. Regards.",0,billing
"Hello, I can't reach the shared network drive from branch office. Please help.",2,network
FYI — I'm getting a 'session expired' error immediately after logging in. Appreciate any guidance.,3,account
"Hi, The macro I recorded in Excel is throwing a runtime error. Thanks in advance.",4,software
Good morning — My download speed dropped to under 1 Mbps today.,2,network
"Hey there, My profile photo is not updating despite multiple attempts. Please help.",3,account
Urgent: My annual plan renewal was charged at the wrong rate. This is affecting my work.,0,billing
Quick question: My invoice shows incorrect pricing for the pro plan. Please help.,0,billing
I need to update my payment method but I'm getting an error. Please help.,0,billing
Good morning — The application crashes every time I try to export to PDF. Let me know ASAP.,4,software
Good morning — Ping times to our cloud servers have spiked to 400ms. Regards.,2,network
"Hey there, My invoice shows incorrect pricing for the pro plan. Thanks in advance.",0,billing
"Hi, My username changed after the SSO migration and I can't log in.",3,account
"Hi, The plugin I installed yesterday is causing crashes. Appreciate any guidance.",4,software
I was charged twice for my subscription this month. Please help.,0,billing
FYI — Can you explain the extra line item on my statement? This is affecting my work.,0,billing
Good morning — I need to disable MFA for an upcoming travel period.,3,account
Good morning — The payment failed but I was still billed.,0,billing
Good morning — My profile photo is not updating despite multiple attempts. Let me know ASAP.,3,account
Quick question: My laptop fan is making a loud grinding noise. Appreciate any guidance.,1,hardware
FYI — My invoice shows incorrect pricing for the pro plan. Please help.,0,billing
My desk phone handset has static on all calls. Please help.,1,hardware
Quick question: I need a temporary password for a shared account. Appreciate any guidance.,3,account
"Hi, I'm getting a 'session expired' error immediately after logging in. This is affecting my work.",3,account
FYI — The VoIP calls are dropping mid-conversation every few minutes.,2,network
An ex-employee's account is still active and needs to be disabled. Please help.,3,account
Good morning — My account shows as suspended even though I renewed. Please help.,3,account
"Hi, My laptop screen has a large crack down the middle.",1,hardware
"Hello, My credit card was charged without authorization. This is affecting my work.",0,billing
Good morning — I forgot my password and the reset email never arrived. Regards.,3,account
My billing address is wrong on all my invoices. Thanks in advance.,0,billing
Good morning — I'm unable to join the company Teams meeting from the office network. Let me know ASAP.,2,network
Urgent: My monitor flickers when connected via HDMI. Please help.,1,hardware
"Hey there, I cancelled before the billing cycle but was still charged. Please help.",0,billing
"Hey there, I need to roll back the latest patch—it broke our workflow. Appreciate any guidance.",4,software
The keyboard on my workstation is unresponsive. This is affecting my work.,1,hardware
FYI — My username changed after the SSO migration and I can't log in. Let me know ASAP.,3,account
"Hi, Ping times to our cloud servers have spiked to 400ms. Thanks in advance.",2,network
Good morning — I need to update my payment method but I'm getting an error. Regards.,0,billing
Quick question: I'm getting a 'session expired' error immediately after logging in.,3,account
"Hi, The battery on my company laptop drains in under two hours.",1,hardware
Good morning — My monitor flickers when connected via HDMI. Let me know ASAP.,1,hardware
The SD card slot on my device doesn't read any cards. Please help.,1,hardware
"Hi, The browser extension for our CRM stopped working after an update. Regards.",4,software
FYI — Font rendering is blurry after upgrading to the new display drivers.,4,software
"Hi, I was charged twice for my subscription this month. Thanks in advance.",0,billing
Good morning — New hire's account was not provisioned before their start date.,3,account
"Hey there, My desk phone handset has static on all calls. Please help.",1,hardware
"Hi, The macro I recorded in Excel is throwing a runtime error.",4,software
Urgent: My account was locked after too many failed login attempts.,3,account
Urgent: The touchscreen on the conference room display is unresponsive.,1,hardware
Quick question: Remote Desktop stops connecting after a few seconds. Appreciate any guidance.,2,network
"Hey there, The application is using 98% CPU at idle. Please help.",4,software
"Hey there, The enterprise plan was not activated after payment. Appreciate any guidance.",0,billing
I cannot change my email address in the profile settings. Thanks in advance.,3,account
The guest account I created for a vendor has too many permissions. Please help.,3,account
Urgent: The payment failed but I was still billed. This is affecting my work.,0,billing
Urgent: My annual plan renewal was charged at the wrong rate. Let me know ASAP.,0,billing
FYI — Two-factor authentication codes are not arriving via SMS.,3,account
"Hey there, My printer is showing an offline error even when powered on. This is affecting my work.",1,hardware
Urgent: My credit card was charged without authorization.,0,billing
"Hey there, AutoSave is not working in the latest version of the office suite. Appreciate any guidance.",4,software
Quick question: My printer is showing an offline error even when powered on. This is affecting my work.,1,hardware
The guest account I created for a vendor has too many permissions. This is affecting my work.,3,account
The keyboard on my workstation is unresponsive. Thanks in advance.,1,hardware
"Hi, The keyboard on my workstation is unresponsive. Appreciate any guidance.",1,hardware
I'm getting DNS resolution errors for internal sites. Please help.,2,network
"Hello, I'm getting a 'missing DLL' error when launching the tool. This is affecting my work.",4,software
Good morning — I cannot change my email address in the profile settings. Thanks in advance.,3,account
Good morning — I was charged twice for my subscription this month. Let me know ASAP.,0,billing
Quick question: I cancelled before the billing cycle but was still charged. Let me know ASAP.,0,billing
"Hello, The software update failed halfway and now the app won't open. Let me know ASAP.",4,software
Urgent: The SD card slot on my device doesn't read any cards. Appreciate any guidance.,1,hardware
"Hello, The payment failed but I was still billed. Please help.",0,billing
"Hey there, The plugin I installed yesterday is causing crashes. This is affecting my work.",4,software
My external hard drive is not detected by the system. Please help.,1,hardware
Good morning — The keyboard on my workstation is unresponsive. Let me know ASAP.,1,hardware
"Hello, The keyboard on my workstation is unresponsive.",1,hardware
"Hey there, My username changed after the SSO migration and I can't log in.",3,account
"Hi, I need a temporary password for a shared account.",3,account
"Hello, I cannot connect to the VPN from home. Thanks in advance.",2,network
"Hello, My IDE keeps freezing when I open files larger than 5 MB. Please help.",4,software
I forgot my password and the reset email never arrived. Thanks in advance.,3,account
"Hey there, Two-factor authentication codes are not arriving via SMS. Regards.",3,account
Quick question: I need a refund for the accidental upgrade charge.,0,billing
"Hey there, My invoice shows incorrect pricing for the pro plan. Regards.",0,billing
"Hi, I need to update my payment method but I'm getting an error. Let me know ASAP.",0,billing
Quick question: The plugin I installed yesterday is causing crashes. Please help.,4,software
Urgent: I need a temporary password for a shared account. Appreciate any guidance.,3,account
"Hi, Network printing is unavailable from the second floor. Let me know ASAP.",2,network
"Hi, I cannot uninstall the old version before installing the new one. Appreciate any guidance.",4,software
My invoice shows incorrect pricing for the pro plan. Please help.,0,billing
Urgent: The touchscreen on the conference room display is unresponsive. This is affecting my work.,1,hardware
Urgent: My trackpad stopped clicking after the latest OS update. Let me know ASAP.,1,hardware
"Hi, My laptop fan is making a loud grinding noise. Appreciate any guidance.",1,hardware
Good morning — The USB ports on my docking station stopped working.,1,hardware
Urgent: The license for our design software expired unexpectedly. Thanks in advance.,4,software
FYI — The USB ports on my docking station stopped working.,1,hardware
I need to disable MFA for an upcoming travel period.,3,account
I cannot uninstall the old version before installing the new one. Let me know ASAP.,4,software
FYI — My monitor flickers when connected via HDMI. Appreciate any guidance.,1,hardware
"Hey there, How do I download my tax invoice for last quarter? Thanks in advance.",0,billing
FYI — My desk phone handset has static on all calls. Let me know ASAP.,1,hardware
Urgent: My device was assigned a duplicate IP address on the LAN.,2,network
"Hi, I keep getting a proxy authentication error on Chrome.",2,network
"Hello, Two-factor authentication codes are not arriving via SMS.",3,account
"Hey there, My desk phone handset has static on all calls.",1,hardware
"Hey there, How do I download my tax invoice for last quarter? Please help.",0,billing
"Hey there, The application is using 98% CPU at idle. Regards.",4,software
FYI — My laptop fan is making a loud grinding noise. Thanks in advance.,1,hardware
I cannot connect to the VPN from home. This is affecting my work.,2,network
"Hey there, Font rendering is blurry after upgrading to the new display drivers. Let me know ASAP.",4,software
Good morning — My credit card was charged without authorization. Please help.,0,billing
Urgent: Remote Desktop stops connecting after a few seconds. Please help.,2,network
FYI — The browser extension for our CRM stopped working after an update. Let me know ASAP.,4,software
"Hey there, I'm getting DNS resolution errors for internal sites.",2,network
The software update failed halfway and now the app won't open. Regards.,4,software
Good morning — My download speed dropped to under 1 Mbps today. Appreciate any guidance.,2,network
Quick question: The guest account I created for a vendor has too many permissions. Regards.,3,account
"Hello, My account shows as suspended even though I renewed. Let me know ASAP.",3,account
"Hi, The macro I recorded in Excel is throwing a runtime error.",4,software
"Hello, I'm unable to join the company Teams meeting from the office network.",2,network
Urgent: The application is using 98% CPU at idle. Let me know ASAP.,4,software
"Hey there, I cancelled before the billing cycle but was still charged.",0,billing
FYI — New hire's account was not provisioned before their start date. Thanks in advance.,3,account
Good morning — My external hard drive is not detected by the system. Let me know ASAP.,1,hardware
"Hey there, My download speed dropped to under 1 Mbps today. Thanks in advance.",2,network
Quick question: The macro I recorded in Excel is throwing a runtime error. Let me know ASAP.,4,software
FYI — My printer is showing an offline error even when powered on.,1,hardware
Urgent: The plugin I installed yesterday is causing crashes. Please help.,4,software
"Hello, Ping times to our cloud servers have spiked to 400ms.",2,network
Good morning — My invoice shows incorrect pricing for the pro plan. Please help.,0,billing
"Hi, My credit card was charged without authorization. Regards.",0,billing
Quick question: I'm getting DNS resolution errors for internal sites.,2,network
Good morning — The application crashes every time I try to export to PDF. Thanks in advance.,4,software
"Hello, The payment failed but I was still billed.",0,billing
My account shows as suspended even though I renewed. Regards.,3,account
"Hi, How do I download my tax invoice for last quarter? Regards.",0,billing
Urgent: I'm getting a 'session expired' error immediately after logging in.,3,account
Urgent: Ping times to our cloud servers have spiked to 400ms. Let me know ASAP.,2,network
The plugin I installed yesterday is causing crashes. Appreciate any guidance.,4,software
My printer is showing an offline error even when powered on. Please help.,1,hardware
Quick question: I need a refund for the accidental upgrade charge. Regards.,0,billing
FYI — My monitor flickers when connected via HDMI.,1,hardware
"Hello, My device was assigned a duplicate IP address on the LAN. Let me know ASAP.",2,network
FYI — The SSL certificate for our internal portal expired. This is affecting my work.,2,network
Quick question: I'm disputing a charge from three weeks ago. Appreciate any guidance.,0,billing
FYI — The enterprise plan was not activated after payment. Thanks in advance.,0,billing
"Hello, The SSL certificate for our internal portal expired. Regards.",2,network
FYI — I need admin rights to install the new project management tool.,4,software
FYI — The SSL certificate for our internal portal expired. This is affecting my work.,2,network
"Hey there, My access to the HR portal was revoked by mistake. Regards.",3,account
"Hi, Two-factor authentication codes are not arriving via SMS.",3,account
"Hello, I keep getting a proxy authentication error on Chrome.",2,network
Good morning — New hire's account was not provisioned before their start date. Please help.,3,account
The antivirus software is quarantining a legitimate work file. Please help.,4,software
"Hey there, I cannot change my email address in the profile settings. Thanks in advance.",3,account
"Hello, My profile photo is not updating despite multiple attempts. This is affecting my work.",3,account
Urgent: I can't reach the shared network drive from branch office.,2,network
FYI — I need to disable MFA for an upcoming travel period. Appreciate any guidance.,3,account
FYI — The software update failed halfway and now the app won't open.,4,software
Urgent: I received a collection notice but my account is current. Please help.,0,billing
"Hey there, The SD card slot on my device doesn't read any cards.",1,hardware
Urgent: I need to disable MFA for an upcoming travel period. Regards.,3,account
Quick question: I'm getting a 'session expired' error immediately after logging in. Appreciate any guidance.,3,account
Quick question: I'm disputing a charge from three weeks ago. Please help.,0,billing
"Hey there, My desk phone handset has static on all calls.",1,hardware
Urgent: The VoIP calls are dropping mid-conversation every few minutes. Please help.,2,network
The battery on my company laptop drains in under two hours. This is affecting my work.,1,hardware
"Hi, The firewall is blocking my access to an approved tool. Appreciate any guidance.",2,network
"Hello, My annual plan renewal was charged at the wrong rate.",0,billing
"Hey there, My account shows as suspended even though I renewed. Thanks in advance.",3,account
Quick question: My trackpad stopped clicking after the latest OS update.,1,hardware
Quick question: My monitor flickers when connected via HDMI. Regards.,1,hardware
Urgent: The USB ports on my docking station stopped working. This is affecting my work.,1,hardware
Good morning — I'm getting a 'missing DLL' error when launching the tool. Let me know ASAP.,4,software
Quick question: I need a temporary password for a shared account. Appreciate any guidance.,3,account
FYI — AutoSave is not working in the latest version of the office suite. This is affecting my work.,4,software
"Hey there, My trackpad stopped clicking after the latest OS update.",1,hardware
The USB ports on my docking station stopped working.,1,hardware
Good morning — My device was assigned a duplicate IP address on the LAN. Please help.,2,network
"Hi, I cannot connect to the VPN from home. Let me know ASAP.",2,network
My laptop fan is making a loud grinding noise. Thanks in advance.,1,hardware
"Hello, I need a refund for the accidental upgrade charge. Regards.",0,billing
Quick question: An ex-employee's account is still active and needs to be disabled.,3,account
Good morning — I'm unable to join the company Teams meeting from the office network. Appreciate any guidance.,2,network
Good morning — Remote Desktop stops connecting after a few seconds. Please help.,2,network
FYI — My device was assigned a duplicate IP address on the LAN. Thanks in advance.,2,network
FYI — My download speed dropped to under 1 Mbps today. Regards.,2,network
The guest account I created for a vendor has too many permissions. Thanks in advance.,3,account
Ping times to our cloud servers have spiked to 400ms. Let me know ASAP.,2,network
Good morning — Remote Desktop stops connecting after a few seconds. Thanks in advance.,2,network
"Hey there, The enterprise plan was not activated after payment. This is affecting my work.",0,billing
Quick question: I cannot uninstall the old version before installing the new one. Regards.,4,software
"Hey there, Network printing is unavailable from the second floor.",2,network
"Hey there, The application is using 98% CPU at idle.",4,software
"Hi, The VoIP calls are dropping mid-conversation every few minutes. Regards.",2,network
FYI — I'm disputing a charge from three weeks ago. Thanks in advance.,0,billing
"Hi, The USB ports on my docking station stopped working. Please help.",1,hardware
Good morning — Font rendering is blurry after upgrading to the new display drivers. Regards.,4,software
FYI — My printer is showing an offline error even when powered on. Appreciate any guidance.,1,hardware
"Hey there, I forgot my password and the reset email never arrived. Regards.",3,account
"Hi, My laptop screen has a large crack down the middle. This is affecting my work.",1,hardware
Good morning — New hire's account was not provisioned before their start date.,3,account
FYI — The firewall is blocking my access to an approved tool. Appreciate any guidance.,2,network
Quick question: The application is using 98% CPU at idle. Let me know ASAP.,4,software
Good morning — The browser extension for our CRM stopped working after an update. Let me know ASAP.,4,software
Good morning — An ex-employee's account is still active and needs to be disabled. Please help.,3,account
FYI — The office Wi-Fi drops every 20 minutes on my floor. Thanks in advance.,2,network
Good morning — I'm getting a 'missing DLL' error when launching the tool. Please help.,4,software
"Hey there, Ping times to our cloud servers have spiked to 400ms. Appreciate any guidance.",2,network
"Hello, I need admin rights to install the new project management tool.",4,software
"Hi, The SD card slot on my device doesn't read any cards.",1,hardware
Good morning — The USB ports on my docking station stopped working. Please help.,1,hardware
Good morning — My username changed after the SSO migration and I can't log in. Regards.,3,account
Urgent: I cancelled before the billing cycle but was still charged.,0,billing
"Hello, My laptop screen has a large crack down the middle. Let me know ASAP.",1,hardware
Good morning — My billing address is wrong on all my invoices. Appreciate any guidance.,0,billing
"Hi, I need to transfer ownership of my account to a new employee. Appreciate any guidance.",3,account
The antivirus software is quarantining a legitimate work file. Appreciate any guidance.,4,software
Quick question: The payment failed but I was still billed. Let me know ASAP.,0,billing
I'm getting a 'missing DLL' error when launching the tool. Regards.,4,software
Good morning — Network printing is unavailable from the second floor. Let me know ASAP.,2,network
Good morning — The cooling pad I ordered is not compatible with my laptop model. Appreciate any guidance.,1,hardware
Urgent: I'm unable to join the company Teams meeting from the office network. This is affecting my work.,2,network
I received a collection notice but my account is current.,0,billing
Good morning — The webcam LED is on but no image appears in video calls.,1,hardware
Urgent: My IDE keeps freezing when I open files larger than 5 MB. Appreciate any guidance.,4,software
Quick question: My username changed after the SSO migration and I can't log in. This is affecting my work.,3,account
"Hey there, I cannot browse the internet but the LAN connection shows active. Let me know ASAP.",2,network
"Hello, My external hard drive is not detected by the system.",1,hardware
Quick question: The plugin I installed yesterday is causing crashes.,4,software
FYI — The firewall is blocking my access to an approved tool. Thanks in advance.,2,network
"Hello, My printer is showing an offline error even when powered on.",1,hardware
Good morning — Can you explain the extra line item on my statement? Thanks in advance.,0,billing
